ingredient_clean,true_manufacturer_count
CALCIFEDIOL,1
CALCIPOTRIENE,7
CALCITONIN SALMON,10
CALCITRIOL,12
CALCIUM ACETATE,10
CALCIUM CARBONATE;FAMOTIDINE;MAGNESIUM HYDROXIDE,2
CALCIUM CHLORIDE,8
CALCIUM CHLORIDE;DEXTROSE;GLUTATHIONE DISULFIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM PHOSPHATE,1
CALCIUM CHLORIDE;DEXTROSE;LACTIC ACID;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SODIUM CHLORIDE,1
CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,2
"CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM SULFATE;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",1
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,3
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE,1
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE;SODIUM CITRATE,2
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM PHOSPHATE,1
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,3
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,3
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,4
CALCIUM GLUCONATE,7
CALCIUM OXYBATE;MAGNESIUM OXYBATE;POTASSIUM OXYBATE;SODIUM OXYBATE,1
CANAGLIFLOZIN,1
CANAGLIFLOZIN;METFORMIN HYDROCHLORIDE,1
CANDESARTAN CILEXETIL,6
CANDESARTAN CILEXETIL;HYDROCHLOROTHIAZIDE,6
CANGRELOR,2
CANNABIDIOL,1
CANTHARIDIN,1
CAPECITABINE,11
CAPIVASERTIB,1
CAPMATINIB HYDROCHLORIDE,1
CAPSAICIN,1
CAPTOPRIL,7
CAPTOPRIL;HYDROCHLOROTHIAZIDE,1
CARBACHOL,1
CARBAMAZEPINE,24
CARBIDOPA,6
CARBIDOPA;ENTACAPONE;LEVODOPA,4
CARBIDOPA;LEVODOPA,17
CARBINOXAMINE MALEATE,5
CARBOPLATIN,13
CARBOPROST TROMETHAMINE,12
CARFILZOMIB,2
CARGLUMIC ACID,3
CARIPRAZINE HYDROCHLORIDE,1
CARISOPRODOL,14
CARMUSTINE,9
CARTEOLOL HYDROCHLORIDE,1
CARVEDILOL,11
CARVEDILOL PHOSPHATE,3
CASIMERSEN,1
CASPOFUNGIN ACETATE,5
CEDAZURIDINE;DECITABINE,1
CEFACLOR,2
CEFADROXIL/CEFADROXIL HEMIHYDRATE,3
CEFAZOLIN SODIUM,9
CEFDINIR,6
CEFEPIME HYDROCHLORIDE,7
CEFIDEROCOL SULFATE TOSYLATE,1
CEFIXIME,6
CEFOTETAN DISODIUM,2
CEFOXITIN SODIUM,5
CEFPODOXIME PROXETIL,4
CEFPROZIL,5
CEFTAROLINE FOSAMIL,2
CEFTAZIDIME,2
CEFTOBIPROLE MEDOCARIL SODIUM,1
CEFTOLOZANE SULFATE;TAZOBACTAM SODIUM,1
CEFTRIAXONE SODIUM,12
CEFUROXIME AXETIL,4
CEFUROXIME SODIUM,2
CELECOXIB,21
CENOBAMATE,1
CEPHALEXIN,8
CERITINIB,1
CETIRIZINE HYDROCHLORIDE,34
